province,year,month,form,count,capital_subscribed
Tarragona,2011,4,Otras,1,900
Teruel,2011,4,Otras,0,0
Toledo,2011,4,Otras,0,0
València / Valencia,2011,4,Otras,2,3006
Valladolid,2011,4,Otras,1,0
Bizkaia,2011,4,Otras,0,0
Zamora,2011,4,Otras,0,0
Zaragoza,2011,4,Otras,0,0
Ceuta,2011,4,Otras,0,0
Melilla,2011,4,Otras,0,0
Araba / Álava,2011,5,SA,0,0
Albacete,2011,5,SA,0,0
Alacant / Alicante,2011,5,SA,3,240000
Almería,2011,5,SA,0,0
Ávila,2011,5,SA,0,0
Badajoz,2011,5,SA,0,0
Illes Balears,2011,5,SA,0,0
Barcelona,2011,5,SA,7,6438020
Burgos,2011,5,SA,0,0
Cáceres,2011,5,SA,0,0
Cádiz,2011,5,SA,0,0
Castelló / Castellón,2011,5,SA,0,0
Ciudad Real,2011,5,SA,0,0
Córdoba,2011,5,SA,0,0
"Coruña, A",2011,5,SA,2,180000
Cuenca,2011,5,SA,0,0
Girona,2011,5,SA,0,0
Granada,2011,5,SA,0,0
Guadalajara,2011,5,SA,0,0
Gipuzkoa,2011,5,SA,0,0
Huelva,2011,5,SA,0,0
Huesca,2011,5,SA,0,0
Jaén,2011,5,SA,0,0
León,2011,5,SA,0,0
Lleida,2011,5,SA,0,0
"Rioja, La",2011,5,SA,0,0
Lugo,2011,5,SA,0,0
Madrid,2011,5,SA,23,35198712
Málaga,2011,5,SA,1,60000
Murcia,2011,5,SA,1,7700000
Navarra,2011,5,SA,1,2000000
Ourense,2011,5,SA,0,0
Asturias,2011,5,SA,1,170000
Palencia,2011,5,SA,0,0
"Palmas, Las",2011,5,SA,0,0
Pontevedra,2011,5,SA,0,0
Salamanca,2011,5,SA,0,0
Santa Cruz de Tenerife,2011,5,SA,0,0
Cantabria,2011,5,SA,1,150000
Segovia,2011,5,SA,0,0
Sevilla,2011,5,SA,0,0
Soria,2011,5,SA,0,0
Tarragona,2011,5,SA,1,65000
Teruel,2011,5,SA,0,0
Toledo,2011,5,SA,0,0
València / Valencia,2011,5,SA,3,240182
Valladolid,2011,5,SA,2,460101
Bizkaia,2011,5,SA,2,435000
Zamora,2011,5,SA,0,0
Zaragoza,2011,5,SA,2,12351000
Ceuta,2011,5,SA,0,0
Melilla,2011,5,SA,0,0
Araba / Álava,2011,5,SL,83,1380740
Albacete,2011,5,SL,42,265630
Alacant / Alicante,2011,5,SL,468,4623150
Almería,2011,5,SL,104,5749413
Ávila,2011,5,SL,23,888749
Badajoz,2011,5,SL,80,1477618
Illes Balears,2011,5,SL,243,5743427
Barcelona,2011,5,SL,1227,20945597
Burgos,2011,5,SL,46,1622463
Cáceres,2011,5,SL,37,720484
Cádiz,2011,5,SL,127,7124309
Castelló / Castellón,2011,5,SL,94,4296372
Ciudad Real,2011,5,SL,67,991672
Córdoba,2011,5,SL,85,3437430
"Coruña, A",2011,5,SL,162,3732080
Cuenca,2011,5,SL,18,306520
Girona,2011,5,SL,134,2261301
Granada,2011,5,SL,113,1904171
Guadalajara,2011,5,SL,25,643584
Gipuzkoa,2011,5,SL,79,7913813
Huelva,2011,5,SL,66,1489733
Huesca,2011,5,SL,26,735098
Jaén,2011,5,SL,48,2949536
León,2011,5,SL,51,366255
Lleida,2011,5,SL,56,1602234
"Rioja, La",2011,5,SL,40,2468637
Lugo,2011,5,SL,29,2586249
Madrid,2011,5,SL,1659,57746531
Málaga,2011,5,SL,391,16184099
Murcia,2011,5,SL,224,4375121
Navarra,2011,5,SL,81,1471855
Ourense,2011,5,SL,29,684662
Asturias,2011,5,SL,125,2534173
Palencia,2011,5,SL,15,116493
"Palmas, Las",2011,5,SL,166,2960471
Pontevedra,2011,5,SL,131,2192320
Salamanca,2011,5,SL,26,174398
Santa Cruz de Tenerife,2011,5,SL,138,1691176
Cantabria,2011,5,SL,71,2264240
Segovia,2011,5,SL,14,230958
Sevilla,2011,5,SL,241,2085937
Soria,2011,5,SL,9,1626778
Tarragona,2011,5,SL,125,2674749
Teruel,2011,5,SL,14,384870
Toledo,2011,5,SL,86,928795
